from_newsgroup,to_newsgroup,number_of_references,references_from_newsgroup,references_out_of_newsgroup
no.film,no.marked,471,51355,19630
no.radio-tv,unknown,468,15586,5574
no.tele,no.jus,468,19324,7115
no.bibsys,no.c,465,3448,2954
no.bibsys,no.ef,464,3448,2954
no.bibsys,no.embnet,464,3448,2954
no.bibsys,no.film,464,3448,2954
no.ef,no.bibsys,464,29077,23384
no.embnet,no.bibsys,464,17286,16200
no.film,no.bibsys,464,51355,19630
no.havforskning,no.bibsys,464,17004,15678
no.alt.god.jul,no.multimedia,463,14888,13251
no.elektronikk,unknown,463,24612,17793
no.psykologi,no.ai,463,17960,9534
no.ai,no.general,462,3748,2988
no.c,no.bibsys,462,23413,17227
no.bibsys,no.havforskning,461,3448,2954
no.ef,no.alt.god.jul,461,29077,23384
no.bibsys,no.irc,460,3448,2954
no.irc,no.bibsys,460,53520,29112
no.jus,no.musikk.gitar,460,59888,34547
no.news.diverse,no.net,460,62629,27354
no.mail.drift,no.jus,458,20201,18601
no.ai,no.psykologi,457,3748,2988
no.general,no.biz.annonser,456,572652,195646
no.litteratur,no.net,456,29283,20463
no.mac,no.jus,456,71238,24654
no.bil,no.marked,455,31226,13872
no.net,no.litteratur,455,23765,19184
no.general,no.eunet.diverse,454,572652,195646
no.kjemi,no.general,454,25136,21500
no.kjemi,no.musikk.gitar,454,25136,21500
no.net,no.alt.frustrasjoner,454,23765,19184
no.audio,no.havforskning,452,47065,21499
no.ef,no.multimedia,452,29077,23384
no.ef,no.mac,451,29077,23384
no.spill,no.marked,451,30675,6456
no.multimedia,no.alt.god.jul,450,31206,26667
no.alt.diskusjoner,no.alt.motorsykler,449,168368,81207
no.audio,no.irc,449,47065,21499
no.jus,no.havforskning,447,59888,34547
no.alt.diskusjoner,no.alt.gledesutbrudd,445,168368,81207
no.ef,no.jus,445,29077,23384
no.mac,no.ef,445,71238,24654
no.alt.pompel-og-pilt,no.alt.radio-tv.irma-1000,444,13193,12415
no.multimedia,no.ef,444,31206,26667
no.musikk.gitar,no.marked,443,15536,12739
no.havforskning,no.alt.tegneserier,442,17004,15678
no.alt.tegneserier,no.irc,441,18956,14973
no.tele,unknown,441,19324,7115
no.kjemi,no.musikk,440,25136,21500
no.alt.god.jul,no.mac,439,14888,13251
no.jus,no.ef,439,59888,34547
no.net,no.musikk.gitar,439,23765,19184
no.havforskning,no.jus,437,17004,15678
no.multimedia,no.jus,437,31206,26667
no.org.efn.diskusjon,no.religion,437,11860,7006
no.slekt,unknown,436,8720,2814
no.alt.frustrasjoner,no.alt.config,435,142818,41663
no.alt.frustrasjoner,no.radio-tv,434,142818,41663
no.musikk,no.irc,434,140052,23221
no.musikk,no.litteratur,434,140052,23221
no.tele,no.alt.frustrasjoner,434,19324,7115
no.litteratur,no.musikk.gitar,432,29283,20463
no.multimedia,no.musikk.gitar,432,31206,26667
no.news.drift,no.general,432,6403,5345
no.mac,no.alt.god.jul,431,71238,24654
no.pc,no.net,431,72503,28078
no.c,no.net,430,23413,17227
no.embnet,no.jus,430,17286,16200
no.hobby.diverse,no.multimedia,430,3441,2826
no.jus,no.embnet,430,59888,34547
no.mac,no.musikk.gitar,429,71238,24654
no.marked.data,no.jus,429,33874,20913
no.c,no.jus,428,23413,17227
no.ef,no.net,428,29077,23384
no.mail.drift,no.musikk.gitar,428,20201,18601
no.net,no.musikk,428,23765,19184
no.alt.pompel-og-pilt,no.alt.tegneserier,427,13193,12415
no.jus,no.pc,427,59888,34547
no.news.diverse,no.slekt,426,62629,27354
no.marked.data,unknown,425,33874,20913
no.alt.radio-tv.irma-1000,no.mail.diverse,424,12006,11504
no.alt.tegneserier,no.jus,424,18956,14973
no.general,no.ai,424,572652,195646
no.marked,no.bil,424,50284,36323
no.religion,no.radio-tv,424,143204,29159
no.net,no.c,423,23765,19184
no.news.diverse,no.medisin,423,62629,27354
no.alt.radio-tv.irma-1000,no.kjemi,422,12006,11504
no.alt.radio-tv.irma-1000,no.mail.drift,422,12006,11504
no.alt.radio-tv.irma-1000,no.marked,422,12006,11504
no.c,no.linux,422,23413,17227
no.elektronikk,no.jus,422,24612,17793
no.elektronikk,no.mac,422,24612,17793
no.jus,no.c,422,59888,34547
no.linux,no.musikk.gitar,422,55051,23868
no.musikk,no.mail.diverse,422,140052,23221
no.musikk,no.mail.drift,422,140052,23221
no.alt.pompel-og-pilt,no.c,421,13193,12415
no.general,no.biz.nettilbydere,421,572652,195646
no.alt.pompel-og-pilt,no.audio,420,13193,12415
no.alt.pompel-og-pilt,no.bil,420,13193,12415
