from_newsgroup,to_newsgroup,number_of_references
no.alt.diskusjoner,no.radio-tv,288
no.multimedia,no.typografi,288
no.pc,no.tele,288
no.www,no.prat.narkotika,288
no.general,no.c,286
no.ms-windows,no.musikk,286
no.folklore.edb,no.general,285
no.hobby.diverse,no.typografi,285
no.ms-windows,no.typografi,283
no.slekt.programmer,no.news.diverse,281
no.biz.nettilbydere,no.www,280
no.jus,no.prat.seksualitet,280
no.musikk,no.ms-windows,280
no.typografi,no.norsk,280
no.prat.seksualitet,no.prat.politikk,279
no.radio-tv,no.alt.diskusjoner,279
no.religion,no.jus,279
no.spill,no.multimedia,279
no.typografi,no.multimedia,279
no.pc,no.biz.annonser,278
no.biz.annonser,no.pc,277
no.musikk,no.typografi,277
no.alt.god.jul,no.radio-tv,276
no.audio,no.ms-windows,276
no.audio,no.typografi,276
no.film,no.alt.gledesutbrudd,275
no.jus,no.pc,275
no.media,no.radio-tv,275
no.unix,no.www,275
no.www,no.norsk,275
no.www,no.tele,275
no.mail.diverse,no.general,274
no.norsk,no.radio-tv,274
no.typografi,no.hobby.diverse,274
no.typografi,no.marked,274
no.typografi,no.marked.data,274
no.typografi,no.ms-windows,274
no.typografi,no.musikk,274
no.multimedia,no.spill,273
no.news.diverse,no.slekt.programmer,273
no.linux,no.net,272
no.alt.diskusjoner,no.norsk,271
no.religion,no.norsk,271
no.pc,no.irc,270
no.biz.annonser,no.general,269
no.net,no.biz.diskusjoner,269
no.jus,no.www,268
no.marked,no.typografi,268
no.marked.data,no.typografi,268
no.net,no.mail.diverse,267
no.norsk,no.pc,267
no.general,no.alt.sjokolade,266
no.norsk,no.marked,266
no.www,no.biz.nettilbydere,266
no.alt.god.jul,no.alt.flame,265
no.prat.politikk,no.uninett.skole,265
no.alt.flame,no.marked,263
no.biz.diskusjoner,no.net,263
no.lisp,unknown,262
no.reiser,unknown,262
no.ms-windows,no.audio,260
no.skole.diverse,no.uninett.skole,259
no.alt.sjokolade,no.general,258
no.musikk.gitar,unknown,258
no.uninett.skole,no.skole.diverse,258
no.news.diverse,no.vitser,257
no.folklore.overtro,no.medisin,256
no.news.diverse,no.radio-tv,255
no.ms-windows,no.net,254
no.org.efn.diskusjon,no.religion,254
no.religion,no.stortinget,254
no.skole.diverse,no.stortinget,254
no.general,no.it.emacs,253
no.general,no.prat.ufo,251
no.mail.diverse,no.net,251
no.marked.jobb,no.marked.data,251
no.typografi,no.audio,251
no.norsk,no.irc,250
no.skole.diverse,no.news.diverse,249
no.alt.tegneserier,no.general,247
no.kryptografi,unknown,247
no.radio-tv,no.alt.tegneserier,246
no.elektronikk,no.radio-tv,243
no.net,no.unix,243
no.www,no.biz.diskusjoner,243
no.vit.diverse,no.hobby.diverse,242
no.vit.diverse,no.pc,242
no.alt.flame,no.musikk,241
no.alt.mat.drikke,unknown,241
no.tele,no.elektronikk,236
no.general,no.marked.jobb,235
no.radio-tv,no.www,235
no.uninett.skole,no.prat.politikk,234
no.religion,no.vit.diverse,232
no.uninett.skole,no.litteratur,229
no.general,no.alt.pompel-og-pilt,228
no.news.diverse,no.biz.nettilbydere,228
no.radio-tv,no.elektronikk,228
no.biz.diskusjoner,no.www,226
no.irc,no.alt.irc-treff,226
no.elektronikk,no.slekt,225
no.net,no.ms-windows,225
no.norsk,no.uninett.skole,225
no.general,no.bolig,223
no.medisin,no.alt.mat,223
no.alt.pompel-og-pilt,unknown,222
no.norsk,no.velkommen,221
no.unix,no.net,221
no.alt.tegneserier,no.radio-tv,220
no.news.diverse,no.pc,220
no.musikk.klassisk,unknown,219
no.marked.jobb,no.www,218
no.pc,no.alt.flame,218
no.elektronikk,no.biz.annonser,217
no.litteratur,no.alt.diskusjoner,216
no.litteratur,no.uninett.skole,216
no.norsk,no.news.diverse,216
no.vitser,no.irc,215
no.alt.diskusjoner,no.alt.config,214
no.news.diverse,no.net,214
no.multimedia,no.elektronikk,213
no.uninett.skole,no.religion,213
no.general,no.ai,212
no.biz.annonser,no.elektronikk,211
no.prat.seksualitet,no.jus,211
no.marked.jobb,no.general,210
no.vitser,no.prat.politikk,210
no.ms-windows,no.it.diverse,209
no.vit.diverse,no.psykologi,208
no.alt.gledesutbrudd,no.psykologi,207
no.religion,no.uninett.skole,207
no.psykologi,no.alt.gledesutbrudd,206
no.alt.gledesutbrudd,no.alt.diskusjoner,204
no.norsk,no.stortinget,204
no.spill,no.elektronikk,204
no.www,no.pressemeldinger.diskusjon,204
no.religion,no.prat.ufo,203
no.jus,no.musikk,201
no.litteratur,no.skole.diverse,201
no.marked.jobb,no.marked,201
no.ms-windows,no.elektronikk,201
no.norsk,no.musikk,201
no.alt.flame,no.ms-windows,199
no.alt.flame,no.multimedia,199
no.irc,no.marked,198
no.alt.flame,no.prat.seksualitet,197
no.kryptografi,no.linux,197
no.marked.jobb,no.pc,197
no.org.efn.diskusjon,no.pressemeldinger,197
no.pc,no.news.diverse,197
no.uninett.diverse,unknown,197
no.alt.sjokolade,no.alt.diskusjoner,196
no.irc,no.vitser,195
no.linux,no.general,195
no.marked.data,no.marked.diskusjon,195
no.musikk,no.film,195
no.spill,no.marked.data,195
no.norsk,no.religion,194
no.unix,no.general,193
no.amiga,no.alt.amiga,192
no.sport.diverse,no.news.diverse,192
no.general,no.news.drift,191
no.irc,no.pressemeldinger,191
no.norsk,no.linux,191
no.norsk,no.litteratur,191
no.pressemeldinger.diskusjon,no.www,191
no.biz.annonser.data,no.general,190
no.pc,no.jus,190
no.marked.data,no.amiga,189
no.biz.diskusjoner,unknown,187
